Frames per Second,Frame Time,Frame Broadcast Delay
6,161,169
5,169,165
6,165,161
6,163,166
6,166,172
5,185,160
6,160,158
6,163,157
6,157,157
6,157,163
6,163,154
6,154,158
6,158,156
6,157,162
6,162,155
6,155,159
6,159,158
6,158,174
5,174,180
5,181,159
6,159,157
6,158,158
6,158,158
6,159,180
5,180,220
4,221,209
4,209,178
5,178,166
6,166,162
6,163,164
6,164,165
6,165,175
5,175,216
4,216,190
5,190,161
6,161,183
5,183,167
5,168,171
5,171,162
6,162,168
5,168,164
6,165,163
6,163,165
6,166,178
5,178,168
5,169,178
5,178,158
6,159,159
6,159,160
6,161,168
5,168,159
5,170,155
6,155,160
6,163,148
6,148,169
5,170,149
6,149,147
6,148,149
6,149,148
6,149,148
6,148,149
6,150,151
6,151,155
6,156,151
6,151,149
6,150,149
6,149,147
6,147,151
6,151,147
6,147,150
6,150,149
6,149,149
6,149,168
5,168,148
6,148,156
6,156,158
6,158,147
6,148,150
6,150,148
6,148,151
6,151,148
6,148,150
6,150,148
6,149,148
6,148,148
6,149,149
6,149,147
6,148,150
6,150,147
6,148,148
6,148,150
6,150,167
5,167,148
6,148,150
6,150,159
6,160,149
6,149,147
6,148,150
6,150,147
6,148,148
6,148,148
6,150,149
6,149,148
6,148,150
6,150,161
6,162,148
6,148,147
6,147,152
6,152,148
6,148,150
6,150,180
5,180,150
6,150,147
6,147,149
6,150,149
6,150,149
6,149,149
6,149,152
6,152,148
6,149,149
6,149,151
6,151,151
6,151,148
6,148,162
6,162,147
6,148,150
6,150,147
6,147,149
6,149,167
5,168,148
6,148,149
6,150,148
6,148,147
6,148,150
6,150,148
6,149,150
6,150,148
6,148,156
6,156,154
6,156,154
6,154,156
6,157,157
6,157,154
6,155,159
6,159,153
6,153,153
6,153,153
6,154,184
5,184,152
6,166,154
6,154,151
6,152,151
6,151,151
6,164,158
6,160,160
6,162,166
5,167,166
5,167,161
6,162,164
6,165,178
5,182,169
5,169,169
5,170,169
5,170,165
