Frames per Second,Frame Time,Frame Broadcast Delay
1000,1,468
58,17,635
62,16,637
58,17,506
58,17,559
62,16,571
62,16,673
66,15,655
58,17,592
58,17,622
66,15,639
100,10,532
1000,1,697
58,17,604
58,17,651
58,17,609
47,21,505
58,17,622
58,17,522
58,17,512
58,17,550
58,17,663
62,16,591
58,17,538
62,16,663
62,16,658
43,23,714
62,16,925
45,22,685
71,14,720
55,18,541
58,17,626
58,17,623
45,22,323
50,20,633
58,17,545
76,13,645
62,16,611
62,16,580
50,20,583
58,17,564
47,21,610
58,17,676
58,17,551
62,16,588
62,16,610
58,17,695
58,17,524
62,16,730
52,19,621
58,17,521
58,17,656
66,15,488
55,18,566
62,16,642
58,17,587
58,17,606
62,16,620
62,16,576
62,16,529
76,13,609
58,17,690
58,17,531
62,16,609
62,16,647
62,16,555
62,16,599
58,17,542
142,7,551
58,17,622
66,15,557
55,18,493
62,16,412
62,16,593
58,17,543
58,17,571
58,17,730
52,19,611
55,18,698
62,16,617
62,16,543
58,17,570
58,17,613
83,12,622
58,17,546
58,17,677
58,17,655
62,16,625
58,17,717
55,18,793
62,16,629
58,17,562
58,17,576
58,17,504
58,17,644
58,17,721
62,16,789
58,17,714
62,16,556
58,17,681
62,16,693
1000,1,648
58,17,574
1000,1,622
100,10,602
58,17,557
33,30,542
58,17,705
62,16,349
55,18,507
58,17,683
62,16,593
55,18,647
55,18,580
62,16,499
62,16,821
62,16,569
58,17,610
62,16,616
58,17,657
55,18,585
58,17,577
58,17,533
1000,1,521
58,17,507
58,17,698
50,20,668
45,22,610
58,17,706
58,17,647
55,18,626
62,16,691
58,17,608
200,5,484
58,17,640
58,17,688
71,14,681
45,22,708
41,24,845
62,16,683
6,147,235
142,7,389
58,17,723
58,17,864
