Frames per Second,Frame Time,Frame Broadcast Delay
0,2266,589
1000,0,1189
500,2,1724
1000,0,2323
62,16,3187
1000,0,3851
58,17,4509
1000,0,5098
58,17,5713
1000,0,6145
58,17,6838
1000,0,7725
62,16,8416
1000,0,8926
58,17,9495
1000,0,9983
62,16,10562
1000,0,11167
58,17,11792
1000,0,12473
58,17,12990
1000,0,13739
62,16,14385
1000,0,15028
58,17,15615
1000,0,16209
58,17,16843
1000,0,17400
62,16,17939
1000,0,18567
58,17,19088
1000,0,19709
55,18,20359
1000,0,20975
62,16,21626
1000,0,22241
58,17,22829
1000,0,23494
62,16,24034
1000,0,24610
58,17,25212
1000,0,25796
58,17,26346
1000,0,26992
62,16,27507
1000,0,28051
58,17,28635
1000,0,29263
58,17,29984
1000,0,30642
58,17,31299
1000,0,31879
50,20,32489
1000,0,33066
76,13,33639
1000,0,34232
62,16,34688
1000,0,35263
58,17,35529
1000,0,35686
58,17,35845
1000,0,36010
58,17,36154
1000,0,36317
62,16,36462
1000,0,36772
58,17,37093
1000,0,37431
62,16,37757
1000,0,38107
58,17,38432
1000,0,38773
50,20,39092
1000,0,39453
71,14,39778
1000,0,40116
55,18,40436
1000,0,40783
66,15,41108
1000,0,41451
62,16,41791
1000,0,42159
55,18,42492
1000,0,42844
58,17,43190
1000,0,43564
58,17,43903
1000,0,44270
55,18,44615
1000,0,44965
66,15,45304
1000,0,45684
58,17,46037
1000,0,46389
58,17,46718
1000,0,47061
58,17,47387
1000,0,47732
34,29,48049
1000,0,48398
100,10,48739
1000,0,49091
52,19,49444
1000,0,49945
71,14,50427
1000,0,50817
50,20,51233
1000,0,51626
47,21,51973
1000,0,52350
83,12,52724
1000,0,53102
45,22,53485
1000,0,53846
90,11,54204
1000,0,54607
43,23,54974
1000,0,55335
62,16,55710
1000,0,56082
62,16,56429
1000,0,56817
58,17,57197
1000,0,57623
62,16,58230
1000,0,58625
58,17,58987
1000,0,59353
58,17,59771
1000,0,60146
58,17,60525
1000,0,60884
58,17,61232
1000,0,61578
58,17,61911
1000,0,62252
62,16,62611
1000,0,62985
55,18,63391
1000,0,63769
62,16,64122
1000,0,64486
62,16,64845
1000,0,65208
58,17,65561
1000,0,65924
58,17,66283
1000,0,66662
62,16,67018
1000,0,67395
55,18,67723
1000,0,68069
62,16,68394
1000,0,68766
58,17,69098
1000,0,69439
62,16,69775
1000,0,70121
58,17,70445
1000,0,70787
58,17,71111
1000,0,71452
62,16,71798
1000,0,72140
58,17,72465
1000,0,72805
58,17,73154
1000,0,73493
62,16,73840
1000,0,74182
55,18,74504
1000,0,74862
62,16,75194
1000,0,75557
58,17,75888
1000,0,76232
62,16,76575
1000,0,76922
58,17,77249
1000,0,77590
58,17,77930
1000,0,78277
58,17,78603
1000,0,78952
62,16,79330
1000,0,79670
58,17,79994
1000,0,80338
58,17,80659
1000,0,81003
62,16,81327
1000,0,81673
58,17,82000
1000,0,82340
58,17,82666
1000,0,83030
62,16,83355
1000,0,83696
58,17,84021
1000,0,84363
58,17,84686
1000,0,85032
62,16,85368
1000,0,85730
58,17,86054
1000,0,86397
58,17,86725
1000,0,87072
62,16,87396
1000,0,87736
58,17,88060
1000,0,88405
58,17,88726
1000,0,89072
58,17,89397
1000,0,89736
62,16,90061
1000,0,90403
58,17,90725
1000,0,91069
62,16,91392
1000,0,91747
58,17,92090
1000,0,92430
58,17,92765
1000,0,93126
62,16,93458
1000,0,93799
58,17,94122
1000,0,94462
58,17,94795
1000,0,95156
62,16,95481
1000,0,95824
55,18,96147
1000,0,96500
58,17,96839
1000,0,97180
62,16,97504
1000,0,97845
55,18,98193
1000,0,98534
62,16,98858
1000,0,99201
52,19,99522
1000,0,99862
58,17,100187
1000,1,100526
76,13,100853
1000,0,101194
43,23,101516
1000,0,101860
66,15,102185
1000,0,102539
83,12,102869
1000,0,103210
45,22,103530
1000,0,103885
62,16,104208
1000,0,104574
83,12,104924
1000,0,105263
58,17,105586
1000,0,105926
58,17,106249
1000,0,106589
62,16,106913
1000,0,107258
50,20,107577
1000,0,107916
71,14,108266
1000,0,108608
47,21,108928
1000,0,109268
83,12,109613
1000,0,109957
55,18,110280
1000,0,110623
45,22,110960
1000,0,111302
83,12,111627
1000,0,111971
50,20,112294
1000,0,112645
76,13,112983
1000,0,113332
52,19,113653
1000,0,113993
58,17,114323
1000,0,114665
58,17,115005
1000,0,115353
45,22,115672
1000,0,116015
76,13,116343
1000,0,116684
71,14,117032
1000,0,117370
52,19,117691
1000,0,118033
62,16,118357
1000,0,118698
58,17,119020
1000,0,119360
58,17,119688
1000,0,120029
66,15,120370
1000,0,120719
62,16,121058
1000,0,121413
50,20,121749
1000,0,122124
47,21,122452
1000,0,122820
83,12,123162
1000,0,123537
58,17,123894
1000,0,124245
55,18,124573
