Frames per Second,Frame Time,Frame Broadcast Delay
200,5,27875
23,42,30702
76,13,33476
20,49,33636
62,16,34500
17,56,33581
12,81,34976
32,31,33694
21,47,35000
52,19,36129
1000,1,36861
43,23,37606
31,32,37945
12,77,35985
71,14,38272
8,120,37703
66,15,38558
0,2299,38857
10,98,38092
71,14,40634
16,61,40898
12,80,39948
43,23,39276
58,17,41493
9,103,41402
1000,1,40560
3,265,40900
2,377,40006
1000,1,43436
23,43,40387
19,52,42810
14,67,41389
23,43,44620
8,114,43571
142,7,45026
10,93,42871
111,9,45225
3,256,36968
15,64,43761
58,17,45215
5,197,45161
66,15,42548
9,103,44474
14,68,44559
76,13,46487
23,42,43892
20,50,47666
3,279,41903
4,209,46962
90,11,48337
2,361,41735
3,282,44834
6,161,44691
32,31,45228
4,246,44730
18,54,46986
2,391,41981
22,44,49570
22,45,49502
18,53,47589
11,88,44334
22,45,47697
5,168,39882
17,57,50158
7,132,41943
125,8,50748
13,72,47275
16,59,48057
16,59,39106
33,30,49359
20,48,47848
5,191,47519
31,32,47919
3,310,44941
7,135,46678
4,235,43260
9,109,40112
8,119,47305
12,77,49738
11,88,51801
18,55,50729
10,100,40896
8,122,45691
2,368,45066
6,164,47112
1,558,44729
17,58,48738
1,707,49354
7,138,42378
24,41,44668
6,155,49509
27,37,44114
9,108,39597
8,124,44508
15,66,41753
3,295,42349
6,157,51505
12,77,49152
1,731,43319
2,362,45142
3,260,45913
0,1017,41672
4,239,50261
4,230,36383
5,190,50647
4,239,44233
3,280,41434
4,206,48451
10,99,48837
10,91,48836
4,226,42263
1,573,40944
4,229,47068
6,160,51196
9,110,49265
6,154,51855
11,87,51507
11,86,47503
5,183,37621
8,123,50798
31,32,48182
3,314,53113
16,60,48011
8,114,45894
4,242,46824
7,137,61528
31,32,36607
3,286,57789
1,522,41655
5,170,42201
3,288,49750
3,278,50628
1,616,37426
4,218,51530
1,656,35816
40,25,55745
4,201,49907
5,196,42845
3,312,53507
2,478,35319
23,43,54024
1,653,39166
9,107,44880
4,250,51339
1,774,48028
3,284,52059
2,383,44158
2,491,50042
15,66,41971
14,67,59074
25,40,36228
7,141,42203
3,307,43383
5,198,44596
3,307,45027
6,145,37151
1,511,38729
1,840,54011
3,255,51896
1,624,46018
25,40,40812
5,195,40226
3,310,39990
1,660,47759
6,156,41109
4,232,49674
13,72,33855
2,417,50453
1,760,35774
12,79,55038
1,893,53179
2,482,34190
10,98,49558
2,397,40908
1,684,52824
2,430,42063
22,44,35356
21,46,53363
2,386,38813
5,171,41579
83,12,36806
4,223,45354
1,693,35342
2,445,47929
3,279,49253
1,646,42417
1,519,37781
3,327,51058
1,616,35432
4,250,44378
5,171,53549
3,319,45453
1,597,47324
10,95,51514
2,497,29949
3,290,53448
4,234,38466
3,306,44499
3,311,47298
10,92,41447
7,126,55817
1,605,47528
4,208,49469
2,493,45865
1,601,39139
7,130,42112
2,457,36188
62,16,36916
3,328,36615
1,668,41813
2,336,42598
1,521,38728
5,179,38381
3,263,44579
58,17,37425
3,303,46270
5,189,37265
3,261,39242
3,314,48127
2,483,49222
6,156,51799
4,218,39588
3,283,36911
3,278,47551
3,258,48264
8,119,38647
2,478,38788
5,184,31246
1,620,58716
2,348,38658
1,835,43498
2,437,37171
2,361,46570
1,590,36398
4,221,29451
0,1135,35834
4,227,23203
2,399,30443
3,326,34606
4,204,43808
3,263,27980
2,409,29961
3,304,29695
2,498,39306
3,332,36966
2,403,47175
1,830,34771
1,573,26428
2,433,32512
4,209,38314
10,99,34163
2,474,38882
34,29,22972
3,298,35669
1,665,26879
3,285,36984
4,228,32858
2,337,41056
4,242,34044
14,71,33765
6,165,28828
1,888,37138
0,1048,49557
2,410,39679
2,353,24934
2,438,25966
1,547,30699
1,590,35055
5,178,22997
1,563,33844
4,221,43516
1,801,47082
3,252,30676
4,240,35194
2,383,39718
2,445,25198
3,254,28286
5,169,33322
4,218,34150
4,229,39985
4,223,36312
6,164,44157
2,498,22774
6,165,38577
3,304,32571
5,180,36373
3,274,37746
8,112,29100
40,25,26805
8,116,35022
5,183,23407
1,558,33788
2,397,30495
3,288,34754
1,527,38659
4,227,25245
4,238,31079
1,878,34437
2,359,26974
13,75,31901
5,171,19181
6,164,31686
12,82,30803
9,110,42724
6,165,32874
100,10,23905
4,228,37716
1,681,25007
3,252,37407
2,449,29856
3,285,31767
3,255,25053
4,221,18046
13,76,26594
2,425,22649
1,506,32707
2,463,20814
1,554,22362
1,531,36892
3,287,27657
1,563,22061
1,887,35537
1,518,31181
25,40,21027
1,745,39738
2,409,35406
3,280,37001
7,131,37042
1,975,25843
3,273,25641
10,92,18788
2,338,30688
1,538,28873
1,616,21783
6,158,31583
3,296,24558
4,231,39422
1,587,29627
8,121,20129
1,897,35172
1,541,20149
3,274,33819
1,851,27745
7,141,35791
13,73,21826
13,76,22506
1,557,25716
1,514,24800
1,921,20253
1,503,23557
1,780,25096
0,1225,34854
7,129,29052
8,125,25656
2,456,34165
3,254,26969
1,626,23377
9,106,20294
10,94,23009
15,65,26640
1,672,21640
2,451,28796
17,57,25486
2,462,20348
7,134,24686
31,32,28633
5,196,25382
10,91,16245
9,103,27379
3,297,22822
2,438,30134
1,713,14942
2,414,21490
1,602,26604
1,895,27705
2,347,23068
4,228,24557
22,45,25814
200,5,29351
2,431,24037
5,174,29915
2,471,26917
4,220,26740
6,156,21039
4,217,20025
4,234,28129
4,245,14118
5,175,28296
38,26,34793
0,1112,22451
3,295,22069
8,123,18746
6,152,21095
250,4,21844
3,290,21055
15,66,22542
3,282,28567
1,554,22668
16,59,24102
7,133,20775
5,192,20195
8,118,20267
2,394,29448
1,986,28115
5,181,36337
1,829,27882
4,227,31482
